template;cluster;task
Action: walk Direction: straight forward Preposition: face Landmark: basketball ;0;look_at_obj_in_light-BasketBall-None-DeskLamp-301
Action: pick up Object: basketball From: beanbag chair ;1;look_at_obj_in_light-BasketBall-None-DeskLamp-301
Action: turn Direction: right Preposition: walk to Landmark: white dresser ;-1;look_at_obj_in_light-BasketBall-None-DeskLamp-301
Action: turn on Object: light From: top of dresser ;-1;look_at_obj_in_light-BasketBall-None-DeskLamp-301
Action: walk straight forward Direction: straight forward Preposition: face Landmark: basketball ;-1;look_at_obj_in_light-BasketBall-None-DeskLamp-301
Action: pick up Object: basketball Location: off of the beanbag chair ;-1;look_at_obj_in_light-BasketBall-None-DeskLamp-301
Action: turn right Direction: right Preposition: walk to Landmark: white dresser ;-1;look_at_obj_in_light-BasketBall-None-DeskLamp-301
Action: turn on Object: light Location: on top of the dresser ;-1;look_at_obj_in_light-BasketBall-None-DeskLamp-301
Action: walk Direction: straight forward Preposition: face Landmark: basketball ;0;look_at_obj_in_light-BasketBall-None-DeskLamp-301
Action: pick up Object: basketball From: beanbag chair ;1;look_at_obj_in_light-BasketBall-None-DeskLamp-301
Action: turn Direction: right Preposition: walk Landmark: white dresser ;-1;look_at_obj_in_light-BasketBall-None-DeskLamp-301
Action: turn Object: light From: top of the dresser ;-1;look_at_obj_in_light-BasketBall-None-DeskLamp-301
Action: turn Direction: right Preposition: face Landmark: small brown table ;2;look_at_obj_in_light-Box-None-FloorLamp-212
Action: pick up Object: box Location: small brown table ;-1;look_at_obj_in_light-Box-None-FloorLamp-212
Action: carry Object: box Location: small brown table ;-1;look_at_obj_in_light-Box-None-FloorLamp-212
Action: hold Object: box Location: small brown table ;-1;look_at_obj_in_light-Box-None-FloorLamp-212
Action: turn Direction: right Preposition: face Landmark: small brown table ;2;look_at_obj_in_light-Box-None-FloorLamp-212
Action: pick up Object: box From: the small brown table ;-1;look_at_obj_in_light-Box-None-FloorLamp-212
Action: carry Object: box Preposition: to the left ;-1;look_at_obj_in_light-Box-None-FloorLamp-212
Action: hold Object: box ;-1;look_at_obj_in_light-Box-None-FloorLamp-212
Action: turn Direction: right Preposition: head Landmark: tv stand ;-1;look_at_obj_in_light-KeyChain-None-FloorLamp-223
Action: pick up Object: keys From: the tv stand ;-1;look_at_obj_in_light-KeyChain-None-FloorLamp-223
Action: move Direction: right Preposition: towards Landmark: lamp stand ;-1;look_at_obj_in_light-KeyChain-None-FloorLamp-223
Action: turn on Object: lamp From: off ;-1;look_at_obj_in_light-KeyChain-None-FloorLamp-223
Action: turn Direction: right Preposition: walk slightly forward Landmark: night stand with the tissue box ;3;look_at_obj_in_light-TissueBox-None-DeskLamp-328
Action: pick up Object: tissue box Location: night stand ;4;look_at_obj_in_light-TissueBox-None-DeskLamp-328
Action: turn Direction: left Preposition: walk to Landmark: lamp on the left side of the desk ;5;look_at_obj_in_light-TissueBox-None-DeskLamp-328
Action: turn on Object: lamp ;6;look_at_obj_in_light-TissueBox-None-DeskLamp-328
Action: turn Direction: right Preposition: walk slightly forward Landmark: night stand with the tissue box ;3;look_at_obj_in_light-TissueBox-None-DeskLamp-328
Action: pick up Object: tissue box Location: night stand ;4;look_at_obj_in_light-TissueBox-None-DeskLamp-328
Action: turn Direction: left Preposition: walk to Landmark: lamp on the left side of the desk ;5;look_at_obj_in_light-TissueBox-None-DeskLamp-328
Action: turn on Object: lamp Location: None ;-1;look_at_obj_in_light-TissueBox-None-DeskLamp-328
Action: turn Direction: right Preposition: walk slightly forward Landmark: night stand with the tissue box ;3;look_at_obj_in_light-TissueBox-None-DeskLamp-328
Action: pick up Object: tissue box From: night stand ;-1;look_at_obj_in_light-TissueBox-None-DeskLamp-328
Action: turn Direction: left Preposition: walk to Landmark: lamp on the left side of the desk ;5;look_at_obj_in_light-TissueBox-None-DeskLamp-328
Action: turn on Object: lamp ;6;look_at_obj_in_light-TissueBox-None-DeskLamp-328
Action: move Direction: left Preposition: under Landmark: window ;-1;look_at_obj_in_light-WateringCan-None-DeskLamp-210
Action: pick up Object: water pot Location: floor ;-1;look_at_obj_in_light-WateringCan-None-DeskLamp-210
Action: move Direction: opposite Preposition: to Landmark: end table ;7;look_at_obj_in_light-WateringCan-None-DeskLamp-210
Action: turn on Object: lamp ;6;look_at_obj_in_light-WateringCan-None-DeskLamp-210
Action: move Direction: left Preposition: under Landmark: plant ;8;look_at_obj_in_light-WateringCan-None-DeskLamp-210
Action: pick up Object: water pot From: floor ;9;look_at_obj_in_light-WateringCan-None-DeskLamp-210
Action: move Direction: opposite Preposition: on Landmark: end table ;-1;look_at_obj_in_light-WateringCan-None-DeskLamp-210
Action: turn on Object: lamp ;6;look_at_obj_in_light-WateringCan-None-DeskLamp-210
Action: move Direction: left Preposition: under Landmark: plant ;8;look_at_obj_in_light-WateringCan-None-DeskLamp-210
Action: pick up Object: water pot From: floor ;9;look_at_obj_in_light-WateringCan-None-DeskLamp-210
Action: move Direction: opposite Preposition: to Landmark: end table ;7;look_at_obj_in_light-WateringCan-None-DeskLamp-210
Action: turn on Object: lamp ;6;look_at_obj_in_light-WateringCan-None-DeskLamp-210
Action: take a step Direction: left Preposition: in front of Landmark: alarm clock ;10;pick_and_place_simple-AlarmClock-None-Desk-307
Action: pick up Object: alarm clock ;11;pick_and_place_simple-AlarmClock-None-Desk-307
Action: take two steps Direction: right Preposition: in front of Landmark: book with a phone to the left of it ;-1;pick_and_place_simple-AlarmClock-None-Desk-307
Action: put Object: alarm clock Preposition: on Landmark: left CD ;-1;pick_and_place_simple-AlarmClock-None-Desk-307
Action: take a step Direction: left Landmark: alarm clock ;-1;pick_and_place_simple-AlarmClock-None-Desk-307
Action: pick up Object: alarm clock ;11;pick_and_place_simple-AlarmClock-None-Desk-307
Action: take two steps Direction: right Landmark: book with a phone to the left of it ;-1;pick_and_place_simple-AlarmClock-None-Desk-307
Action: put Object: alarm clock Location: left CD ;12;pick_and_place_simple-AlarmClock-None-Desk-307
Action: take a step Direction: left Preposition: in front of Landmark: alarm clock ;10;pick_and_place_simple-AlarmClock-None-Desk-307
Action: pick up Object: alarm clock ;11;pick_and_place_simple-AlarmClock-None-Desk-307
Action: take two steps Direction: right Preposition: in front of Landmark: book ;-1;pick_and_place_simple-AlarmClock-None-Desk-307
Action: put Object: alarm clock Location: left CD ;12;pick_and_place_simple-AlarmClock-None-Desk-307
Action: move Direction: to face Preposition: the box on the floor Landmark: to the left ;-1;pick_and_place_simple-Box-None-Desk-314
Action: pick up Object: the box on the floor ;-1;pick_and_place_simple-Box-None-Desk-314
Action: bring Object: the box To: the desk ;-1;pick_and_place_simple-Box-None-Desk-314
Action: put Object: the box On: the right side of the desk ;-1;pick_and_place_simple-Box-None-Desk-314
Action: turn Direction: right Preposition: to face Landmark: table ;-1;pick_and_place_simple-CellPhone-None-Safe-302
Action: pick up Object: cell phone From: the table ;-1;pick_and_place_simple-CellPhone-None-Safe-302
Action: turn Direction: right ;13;pick_and_place_simple-CellPhone-None-Safe-302
Action: open Object: cupboard Preposition: to the left of Landmark: bed ;-1;pick_and_place_simple-CellPhone-None-Safe-302
Action: turn Direction: left Preposition: and then straight ;-1;pick_and_place_simple-CreditCard-None-Sofa-220
Action: pick up Object: credit card From: the end table ;14;pick_and_place_simple-CreditCard-None-Sofa-220
Action: turn Direction: around ;15;pick_and_place_simple-CreditCard-None-Sofa-220
Action: set Object: credit card To: the couch ;16;pick_and_place_simple-CreditCard-None-Sofa-220
Action: turn Direction: left Preposition: go Landmark: couch Next Action: straight ;17;pick_and_place_simple-CreditCard-None-Sofa-220
Action: pick up Object: credit card From: the end table ;14;pick_and_place_simple-CreditCard-None-Sofa-220
Action: turn Direction: around Preposition: go Landmark: couch ;18;pick_and_place_simple-CreditCard-None-Sofa-220
Action: set down Object: credit card To: the couch ;-1;pick_and_place_simple-CreditCard-None-Sofa-220
Action: turn Direction: left Preposition: go Landmark: couch Next Action: straight ;17;pick_and_place_simple-CreditCard-None-Sofa-220
Action: pick up Object: credit card From: the end table ;14;pick_and_place_simple-CreditCard-None-Sofa-220
Action: turn Direction: around Preposition: go Landmark: couch ;18;pick_and_place_simple-CreditCard-None-Sofa-220
Action: set Object: credit card To: the couch ;16;pick_and_place_simple-CreditCard-None-Sofa-220
Action: turn Direction: around Preposition: cross Landmark: the end of the black table where the keys are ;-1;pick_and_place_simple-KeyChain-None-Sofa-217
Action: pick up Object: keys From: the table ;-1;pick_and_place_simple-KeyChain-None-Sofa-217
Action: go Direction: right Preposition: left Landmark: the couch ;-1;pick_and_place_simple-KeyChain-None-Sofa-217
Action: put down Object: keys On: the couch ;-1;pick_and_place_simple-KeyChain-None-Sofa-217
Action: turn Direction: around Preposition: cross Landmark: black table where the keys are ;-1;pick_and_place_simple-KeyChain-None-Sofa-217
Action: pick up Object: keys From: table ;-1;pick_and_place_simple-KeyChain-None-Sofa-217
Action: go Direction: right, then left Preposition: turn to face Landmark: couch ;-1;pick_and_place_simple-KeyChain-None-Sofa-217
Action: put Object: keys On: couch ;-1;pick_and_place_simple-KeyChain-None-Sofa-217
Action: turn around Direction: around Preposition: to Landmark: black table ;19;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: pick up Object: knife Location: next to lettuce ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: turn around Direction: around Preposition: to Landmark: refrigerator ;20;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: cut Object: yellow apple Location: None ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: turn around Direction: around Preposition: to Landmark: stove ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: put Object: knife Location: standing up on pan, top left burner ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: pick up Object: pan with knife in it ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: turn left Direction: left Preposition: to Landmark: black table ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: put Object: pan with knife Location: below potato ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: turn around Direction: around Preposition: to Landmark: refrigerator ;20;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: pick up Object: yellow apple piece, left Location: None ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
